"";"species";"HEDGE_rank";"HEDGE";"conservation_classification"
"1725";"Hylomys_parvus";1021;0,185746136;"2 Land/water management"
"3992";"Rattus_burrus";1022;0,185451387;"1 Land/water protection"
"3993";"Rattus_burrus";1022;0,185451387;"2 Land/water management"
"221";"Archboldomys_luzonensis";1023;0,184455356;"2 Land/water management"
"1019";"Ctenomys_fochi";1024;0,183960002;"None"
"880";"Chrysospalax_villosus";1025;0,183327492;"1 Land/water protection"
"881";"Chrysospalax_villosus";1025;0,183327492;"2 Land/water management"
"883";"Chrysospalax_villosus";1025;0,183327492;"4 Education & awareness"
"1796";"Lagothrix_lagotricha";1026;0,183045605;"2 Land/water management"
"1311";"Eropeplus_canus";1027;0,182025531;"None"
"791";"Cervus_albirostris";1028;0,1811195;"1 Land/water protection"
"792";"Cervus_albirostris";1028;0,1811195;"2 Land/water management"
"793";"Cervus_albirostris";1028;0,1811195;"3 Species management"
"795";"Cervus_albirostris";1028;0,1811195;"5 Law & policy"
"3409";"Phalanger_matabiru";1029;0,180140244;"None"
"2292";"Mandrillus_sphinx";1030;0,17960529;"1 Land/water protection"
"2293";"Mandrillus_sphinx";1030;0,17960529;"2 Land/water management"
"2294";"Mandrillus_sphinx";1030;0,17960529;"3 Species management"
"2296";"Mandrillus_sphinx";1030;0,17960529;"5 Law & policy"
"3322";"Perameles_gunnii";1031;0,179598149;"2 Land/water management"
"3325";"Perameles_gunnii";1031;0,179598149;"3 Species management"
"4418";"Spalax_zemni";1032;0,179375803;"None"
"749";"Cercopithecus_diana";1033;0,17886569;"1 Land/water protection"
"750";"Cercopithecus_diana";1033;0,17886569;"2 Land/water management"
"751";"Cercopithecus_diana";1033;0,17886569;"4 Education & awareness"
"1894";"Lepilemur_ruficaudatus";1034;0,17815854;"None"
"4692";"Thyroptera_lavali";1035;0,177003444;"1 Land/water protection"
"4693";"Thyroptera_lavali";1035;0,177003444;"2 Land/water management"
"4120";"Rhogeessa_mira";1036;0,176426419;"None"
"4772";"Trachypithecus_johnii";1037;0,175495456;"1 Land/water protection"
"4774";"Trachypithecus_johnii";1037;0,175495456;"2 Land/water management"
"4775";"Trachypithecus_johnii";1037;0,175495456;"3 Species management"
"4777";"Trachypithecus_johnii";1037;0,175495456;"4 Education & awareness"
"2702";"Myomimus_roachi";1038;0,175104156;"1 Land/water protection"
"2703";"Myomimus_roachi";1038;0,175104156;"2 Land/water management"
"2705";"Myomimus_roachi";1038;0,175104156;"5 Law & policy"
"4935";"Tylomys_panamensis";1039;0,174041672;"None"
"2513";"Microgale_nasoloi";1040;0,172627606;"1 Land/water protection"
"2514";"Microgale_nasoloi";1040;0,172627606;"2 Land/water management"
"3648";"Presbytis_hosei";1041;0,172336772;"1 Land/water protection"
"3650";"Presbytis_hosei";1041;0,172336772;"2 Land/water management"
"3651";"Presbytis_hosei";1041;0,172336772;"3 Species management"
"3654";"Presbytis_hosei";1041;0,172336772;"4 Education & awareness"
"3655";"Presbytis_hosei";1041;0,172336772;"5 Law & policy"
"1012";"Ctenomys_azarae";1042;0,171802916;"1 Land/water protection"
"2434";"Megaerops_wetmorei";1043;0,17177;"None"
"4060";"Rhinolophus_mehelyi";1044;0,171296226;"None"
"3104";"Octodon_bridgesi";1045;0,169705842;"1 Land/water protection"
"1753";"Isoodon_auratus";1046;0,169192571;"2 Land/water management"
"1755";"Isoodon_auratus";1046;0,169192571;"3 Species management"
"1757";"Isoodon_auratus";1046;0,169192571;"4 Education & awareness"
"4424";"Spilogale_pygmaea";1047;0,16834225;"1 Land/water protection"
"4425";"Spilogale_pygmaea";1047;0,16834225;"2 Land/water management"
"4426";"Spilogale_pygmaea";1047;0,16834225;"5 Law & policy"
"2342";"Marmota_sibirica";1048;0,168268088;"3 Species management"
"2347";"Marmota_sibirica";1048;0,168268088;"4 Education & awareness"
"2349";"Marmota_sibirica";1048;0,168268088;"5 Law & policy"
"152";"Ammodorcas_clarkei";1049;0,167576085;"1 Land/water protection"
"153";"Ammodorcas_clarkei";1049;0,167576085;"2 Land/water management"
"154";"Ammodorcas_clarkei";1049;0,167576085;"3 Species management"
"198";"Apomys_camiguinensis";1050;0,1657265;"2 Land/water management"
"1241";"Ellobius_alaicus";1051;0,164896037;"None"
"1762";"Kadarsanomys_sodyi";1052;0,164711258;"None"
"3642";"Presbytis_frontata";1053;0,164324879;"1 Land/water protection"
"3643";"Presbytis_frontata";1053;0,164324879;"2 Land/water management"
"3644";"Presbytis_frontata";1053;0,164324879;"3 Species management"
"3646";"Presbytis_frontata";1053;0,164324879;"5 Law & policy"
"4008";"Reithrodontomys_hirsutus";1054;0,164175887;"None"
"2951";"Niviventer_cremoriventer";1055;0,16416975;"2 Land/water management"
"737";"Cercocebus_torquatus";1056;0,163623615;"1 Land/water protection"
"738";"Cercocebus_torquatus";1056;0,163623615;"2 Land/water management"
"739";"Cercocebus_torquatus";1056;0,163623615;"3 Species management"
"742";"Cercocebus_torquatus";1056;0,163623615;"4 Education & awareness"
"743";"Cercocebus_torquatus";1056;0,163623615;"5 Law & policy"
"946";"Crocidura_mindorus";1057;0,16338414;"1 Land/water protection"
"947";"Crocidura_mindorus";1057;0,16338414;"2 Land/water management"
"3991";"Rattus_adustus";1058;0,162764329;"None"
"2367";"Maxomys_dollmani";1059;0,162567196;"None"
"4951";"Ursus_thibetanus";1060;0,16175075;"1 Land/water protection"
"4952";"Ursus_thibetanus";1060;0,16175075;"2 Land/water management"
"4953";"Ursus_thibetanus";1060;0,16175075;"4 Education & awareness"
"4954";"Ursus_thibetanus";1060;0,16175075;"5 Law & policy"
"4958";"Ursus_thibetanus";1060;0,16175075;"6 Livelihood, economic & other incentives"
"2507";"Microgale_dryas";1061;0,161144316;"2 Land/water management"
"1539";"Helarctos_malayanus";1062,5;0,160548713;"1 Land/water protection"
"1541";"Helarctos_malayanus";1062,5;0,160548713;"2 Land/water management"
