"";"species";"LEDGE_rank";"LEDGE";"conservation_classification";"introduced"
"1305";"Microperoryctes_longicauda";1260;4,20093941;"None";"no"
"408";"Cercopithecus_mitis";1261;4,199520014;"2 Land/water management";"no"
"742";"Eliurus_grandidieri";1262;4,199265026;"2 Land/water management";"no"
"1970";"Prionailurus_rubiginosus";1263;4,197972225;"1 Land/water protection";"no"
"1971";"Prionailurus_rubiginosus";1263;4,197972225;"2 Land/water management";"no"
"1973";"Prionailurus_rubiginosus";1263;4,197972225;"4 Education & awareness";"no"
"1975";"Prionailurus_rubiginosus";1263;4,197972225;"5 Law & policy";"no"
"1209";"Macruromys_major";1264;4,194266376;"None";"no"
"546";"Cryptonanus_chacoensis";1265;4,187136559;"None";"no"
"304";"Caenolestes_fuliginosus";1266;4,183838244;"None";"no"
"2242";"Sarcophilus_harrisii";1267;4,1808256;"3 Species management";"no"
"860";"Graphiurus_christyi";1268;4,1794572;"None";"no"
"1406";"Myomimus_personatus";1269;4,17863859;"None";"no"
"8";"Abrocoma_uspallata";1270;4,171841543;"2 Land/water management";"no"
"2684";"Tupaia_picta";1271;4,16202189;"2 Land/water management";"no"
"818";"Galago_gallarum";1272;4,161786902;"None";"no"
"2418";"Tadarida_lobata";1273;4,161278476;"None";"no"
"714";"Eidolon_helvum";1274;4,160520357;"1 Land/water protection";"no"
"715";"Eidolon_helvum";1274;4,160520357;"3 Species management";"no"
"1236";"Marmosops_bishopi";1275;4,160224706;"None";"no"
"1";"Abeomelomys_sevia";1276;4,160081986;"None";"no"
"219";"Atilax_paludinosus";1277;4,159432018;"None";"no"
"131";"Anonymomys_mindorensis";1278;4,155098577;"1 Land/water protection";"no"
"132";"Anonymomys_mindorensis";1278;4,155098577;"2 Land/water management";"no"
"571";"Ctenomys_steinbachi";1279;4,15462596;"None";"no"
"1242";"Martes_flavigula";1280;4,154330523;"None";"no"
"1295";"Microgale_brevicaudata";1281;4,151414182;"2 Land/water management";"no"
"2059";"Pteronotus_parnellii";1282;4,149734675;"2 Land/water management";"no"
"2054";"Pteromys_momonga";1283,5;4,148748405;"None";"no"
"2055";"Pteromys_volans";1283,5;4,148748405;"2 Land/water management";"no"
"465";"Chodsigoa_sodalis";1285;4,147662607;"None";"no"
"547";"Cryptonanus_unduaviensis";1286;4,145003669;"None";"no"
"1417";"Myospalax_aspalax";1287;4,144548282;"2 Land/water management";"no"
"1800";"Peromyscus_melanotis";1288;4,139608559;"None";"no"
"7";"Abrocoma_shistacea";1289;4,138662583;"None";"no"
"995";"Ichthyomys_pittieri";1290;4,138421353;"1 Land/water protection";"no"
"569";"Ctenomys_perrensi";1291;4,136294139;"None";"no"
"2247";"Scapteromys_tumidus";1292;4,134758877;"None";"no"
"536";"Crocidura_leucodon";1293;4,132753352;"None";"no"
"308";"Callicebus_melanochir";1294;4,129138435;"2 Land/water management";"no"
"1241";"Marmosops_paulensis";1295;4,125327652;"None";"no"
"1825";"Phaner_parienti";1296;4,123723588;"1 Land/water protection";"no"
"1826";"Phaner_parienti";1296;4,123723588;"2 Land/water management";"no"
"1139";"Lonchorhina_aurita";1297;4,123334254;"2 Land/water management";"no"
"994";"Ichthyomys_hydrobates";1298;4,117767667;"None";"no"
"2344";"Sooretamys_angouya";1299;4,114129283;"None";"no"
"1243";"Martes_foina";1300;4,112719354;"2 Land/water management";"no"
"1244";"Martes_foina";1300;4,112719354;"3 Species management";"no"
"1247";"Martes_foina";1300;4,112719354;"5 Law & policy";"no"
"1296";"Microgale_drouhardi";1301;4,111486346;"2 Land/water management";"no"
"1214";"Malacomys_longipes";1302;4,107108439;"None";"no"
"331";"Canis_adustus";1303,5;4,106580475;"2 Land/water management";"no"
"332";"Canis_mesomelas";1303,5;4,106580475;"2 Land/water management";"no"
"2412";"Tachyoryctes_macrocephalus";1305;4,105307778;"2 Land/water management";"no"
"1330";"Monodelphis_adusta";1306;4,104476927;"None";"no"
"2517";"Tasmacetus_shepherdi";1307;4,10419586;"None";"no"
"2604";"Triaenops_persicus";1308,5;4,103849444;"None";"no"
"2605";"Triaenops_rufus";1308,5;4,103849444;"2 Land/water management";"no"
"939";"Hipposideros_vittatus";1310;4,097062309;"1 Land/water protection";"no"
"940";"Hipposideros_vittatus";1310;4,097062309;"2 Land/water management";"no"
"941";"Hipposideros_vittatus";1310;4,097062309;"3 Species management";"no"
"943";"Hipposideros_vittatus";1310;4,097062309;"4 Education & awareness";"no"
"307";"Callicebus_dubius";1311;4,09359031;"2 Land/water management";"no"
"1328";"Molossus_rufus";1312;4,092691195;"2 Land/water management";"no"
"561";"Ctenomys_leucodon";1313;4,091310424;"None";"no"
"1876";"Phylloderma_stenops";1314;4,091220429;"1 Land/water protection";"no"
"1877";"Phylloderma_stenops";1314;4,091220429;"2 Land/water management";"no"
"971";"Hylomys_suillus";1315;4,091081175;"None";"no"
"1699";"Oxymycterus_amazonicus";1316;4,090762113;"None";"no"
"2062";"Pteronotus_rubiginosus";1317;4,087156608;"None";"no"
"867";"Graphiurus_rupicola";1318;4,086640091;"None";"no"
"411";"Chaerephon_chapini";1319;4,084990753;"2 Land/water management";"no"
"535";"Cricetulus_sokolovi";1320;4,081753839;"None";"no"
"888";"Heimyscus_fumosus";1321;4,081655907;"None";"no"
"2282";"Sicista_pseudonapaea";1322;4,081576341;"None";"no"
"899";"Herpailurus_yagouaroundi";1323,5;4,078158481;"1 Land/water protection";"no"
"901";"Herpailurus_yagouaroundi";1323,5;4,078158481;"2 Land/water management";"no"
"903";"Herpailurus_yagouaroundi";1323,5;4,078158481;"3 Species management";"no"
"2079";"Puma_concolor";1323,5;4,078158481;"1 Land/water protection";"no"
"2081";"Puma_concolor";1323,5;4,078158481;"2 Land/water management";"no"
"2083";"Puma_concolor";1323,5;4,078158481;"3 Species management";"no"
"2088";"Puma_concolor";1323,5;4,078158481;"4 Education & awareness";"no"
"2089";"Puma_concolor";1323,5;4,078158481;"5 Law & policy";"no"
"1427";"Myotis_anjouanensis";1325;4,077761323;"None";"no"
"853";"Glischropus_tylopus";1326;4,076474166;"None";"no"
"2404";"Sylvisorex_vulcanorum";1327;4,075147977;"1 Land/water protection";"no"
"514";"Coendou_nycthemera";1328;4,074046291;"None";"no"
"712";"Echymipera_rufescens";1329;4,06954703;"None";"no"
"1731";"Paratriaenops_furculus";1330;4,066378671;"2 Land/water management";"no"
"1732";"Paratriaenops_furculus";1330;4,066378671;"4 Education & awareness";"no"
"1239";"Marmosops_invictus";1331;4,061024132;"None";"no"
"929";"Hipposideros_commersoni";1332;4,055870287;"2 Land/water management";"no"
"930";"Hipposideros_commersoni";1332;4,055870287;"3 Species management";"no"
"858";"Grampus_griseus";1333;4,055842198;"3 Species management";"no"
"424";"Chaetodipus_baileyi";1334,5;4,052240608;"None";"no"
"431";"Chaetodipus_rudinoris";1334,5;4,052240608;"None";"no"
"303";"Caenolestes_convelatus";1336;4,044601045;"None";"no"
"1819";"Phaiomys_leucurus";1337;4,038228079;"None";"no"
"1510";"Nectogale_elegans";1338;4,035928194;"2 Land/water management";"no"
"1301";"Micronycteris_megalotis";1339;4,034615601;"2 Land/water management";"no"
"2365";"Spalax_microphthalmus";1340;4,030823716;"None";"no"
"140";"Antechinus_agilis";1341;4,023058838;"2 Land/water management";"no"
"1823";"Phaner_electromontis";1342;4,02244467;"2 Land/water management";"no"
"1100";"Lepilemur_microdon";1343;4,021527815;"2 Land/water management";"no"
"1101";"Lepilemur_microdon";1343;4,021527815;"3 Species management";"no"
