"";"species";"order";"family";"IUCN_status_real";"IUCN_status_imputed";"GE";"ED";"ED_rank";"EDGE";"EDGE_rank";"HEDGE";"HEDGE_rank";"LEDGE";"LEDGE_rank"
"1620";"Fukomys_mechowi";"Rodentia";"Bathyergidae";"LC";"LC";0;7,28326979759207;1640;2,11423779353429;2941;0,0001537529813625;3285;3,07490587426864;1838
"1621";"Fukomys_ochraceocinereus";"Rodentia";"Bathyergidae";"LC";"LC";0;8,19467092717082;1335,5;2,21862406917996;2682,5;0,0001297858582375;3539,5;2,59558737889176;2193,5
"1622";"Fukomys_zechi";"Rodentia";"Bathyergidae";"LC";"LC";0;13,3719168040023;509;2,66527608047876;1900;0,0005266015;2228;10,5315033985;334
"1623";"Funambulus_layardi";"Rodentia";"Sciuridae";"VU";"VU";2;9,65731606102778;976;3,75254097151748;709;0,143366773415238;1098;2,72396869488952;2096
"1624";"Funambulus_palmarum";"Rodentia";"Sciuridae";"LC";"LC";0;9,98398367413583;907;2,39643818213316;2315;0,000146567366022991;3359;2,93120075309379;1937
"1625";"Funambulus_pennantii";"Rodentia";"Sciuridae";"LC";"LC";0;14,39718038847;380;2,73418440099847;1778;0,000493480335975509;2248;9,86911323917422;362
"1626";"Funambulus_sublineatus";"Rodentia";"Sciuridae";"VU";"VU";2;10,0479658857387;897;3,78854068939977;681;0,152011782716293;1077;2,88822387160957;1968
"1627";"Funambulus_tristriatus";"Rodentia";"Sciuridae";"LC";"LC";0;19,1952413769568;167;3,00544700125674;1411;0,000859117500002092;2033;17,1814908825418;90
"1628";"Funisciurus_anerythrus";"Rodentia";"Sciuridae";"LC";"LC";0;4,14440906011488;3260;1,6379105055689;4054;7,08707254770648e-05;4364;1,41734363881582;3464
"1629";"Funisciurus_bayonii";"Rodentia";"Sciuridae";"DD";"LC";0;3,86031292393707;3472;1,58110282348098;4202;5,9217594365917e-05;4608;1,18429266972397;3824
"1630";"Funisciurus_carruthersi";"Rodentia";"Sciuridae";"LC";"LC";0;3,86035283110864;3471;1,58111103427077;4201;6,14425922246363e-05;4568;1,2287904019005;3759
"1631";"Funisciurus_congicus";"Rodentia";"Sciuridae";"LC";"LC";0;4,12228497557833;3283;1,63360062378884;4073;7,17853514525e-05;4349;1,43563524369855;3443
"1632";"Funisciurus_duchaillui";"Rodentia";"Sciuridae";"DD";"VU";2;3,84348215707843;3489;2,96392827710733;1458;0,0538457257242663;1367;1,02306878876106;4086
