"";"species";"range_size"
"362";"Aztlanolagus_agilis";0
"363";"Babakotia_radofilai";0
"364";"Babyrousa_babyrussa";74498,9478931443
"365";"Babyrousa_celebensis";307308,16005922
"366";"Babyrousa_togeanensis";18624,7369732861
"367";"Baiomys_musculus";791551,321364658
"368";"Baiomys_taylori";1927660,27673511
"369";"Baiyankamys_habbema";18624,7369732861
"370";"Baiyankamys_shawmayeri";167622,632759575
"371";"Balaena_mysticetus";14080301,1518043
"372";"Balaenoptera_acutorostrata";342946594,257603
"373";"Balaenoptera_bonaerensis";157062406,895721
"374";"Balaenoptera_borealis";319162805,142717
"375";"Balaenoptera_edeni";235137304,287737
"376";"Balaenoptera_musculus";335748133,417428
"377";"Balaenoptera_omurai";25767323,6025413
"378";"Balaenoptera_physalus";196369914,277842
"379";"Balantiopteryx_infusca";46561,8424332152
"380";"Balantiopteryx_io";335245,265519149
"381";"Balantiopteryx_plicata";1368918,16753653
"382";"Balionycteris_maculata";1005735,79655745
"383";"Bandicota_bengalensis";4898305,82397424
"384";"Bandicota_indica";6807341,36373606
"385";"Bandicota_savilei";1331668,69358995
"386";"Barbastella_barbastellus";5587421,09198582
"387";"Barbastella_leucomelas";5466360,30165946
"388";"Bassaricyon_alleni";5186989,24706017
"389";"Bassaricyon_gabbii";353870,002492435
"390";"Bassaricyon_medius";502867,898278724
"391";"Bassaricyon_neblina";325932,897032506
"392";"Bassariscus_astutus";5075240,82522045
"393";"Bassariscus_sumichrasti";1005735,79655745
"394";"Bathyergus_janetta";65186,5794065013
"395";"Bathyergus_suillus";130373,158813003
"396";"Batomys_dentatus";9312,36848664304
"397";"Batomys_granti";46561,8424332152
"398";"Batomys_russatus";18624,7369732861
"399";"Batomys_salomonseni";111748,421839716
"400";"Bauerus_dubiaquercus";437681,318872223
"401";"Bdeogale_crassicauda";2234968,43679433
"402";"Bdeogale_jacksoni";176935,001246218
"403";"Bdeogale_nigripes";2626087,91323334
"404";"Bdeogale_omnivora";130373,158813003
"405";"Beamys_hindei";735677,1104448
"406";"Beatragus_hunteri";37249,4739465721
"407";"Belomys_pearsonii";1331668,69358995
"408";"Berardius_arnuxii";87396578,2471449
"409";"Berardius_bairdii";25534514,3903752
"410";"Berylmys_berdmorei";1145421,32385709
"411";"Berylmys_bowersi";3454888,70854457
"412";"Berylmys_mackenziei";279371,054599291
"413";"Berylmys_manipulus";344557,634005792
"414";"Bettongia_anhydra";0
"415";"Bettongia_gaimardi";111748,421839716
"416";"Bettongia_lesueur";65186,5794065013
"417";"Bettongia_penicillata";121060,790326359
"418";"Bettongia_pusilla";0
"419";"Bettongia_tropica";27937,1054599291
"420";"Bibimys_chacoensis";93123,6848664304
"421";"Bibimys_labiosus";605303,951631797
"422";"Bibimys_torresi";27937,1054599291
"423";"Bison_bison";763614,215904729
"424";"Bison_bonasus";27937,1054599291
"425";"Biswamoyopterus_biswasi";27937,1054599291
